,Nama Produk,Harga Produk,Penjual,Kota Toko,Banyaknya Terjual,Rating Produk
0,Seblak Mix Sagala Aya Ratubasreng 500 Gram Pedas Daun Jeruk - Camilan/Lauk Pauk - Kerupuk,Rp20.000,Ratubasreng91,Kab. Bandung,100rb+ terjual,4.8
1,kylafood seblak varian tulang rawan,Rp21.165,Kylafood,Bandung,10rb+ terjual,4.9
2,kerupuk jengkol pedas 500gr/ seblak bantat,Rp20.999,ratihfood14,Kab. Bandung,10rb+ terjual,4.9
3,Seblak mix/ seblak campur/ seblak pedas daun jeruk kemasan 500gr,Rp19.800,diseblakanid,Kab. Bandung,10rb+ terjual,4.8
4,Kylafood  Seblak  Karuhun - Makanan Instan Pedas,Rp13.500,Kylafood,Bandung,6rb+ terjual,4.8
5,SEBLAK CAMPUR/MIX ANEKA KERUPUK SEBLAK JENGKOL/BETON/PEDO/BASRENG neto 500gram Pedas Snack,Rp20.250,KANGSEBLAK.ID,Kab. Bandung,10rb+ terjual,4.8
6,SEBLAK VIRAL/MIX SEBLAK CAMPURAN/MIX VIRAL RENYAH Food Makanan Pedas Kering,Rp11.000,grosir cemilan pedas,Kab. Bandung,50rb+ terjual,4.6
7,Kylafood Paket Seblak Cup instan isi 2 PCS Pedas,Rp28.730,Kylafood,Bandung,10rb+ terjual,4.7
8,(5) Lima BUNGKUS SEBLAK INSTAN PAKET HEMAT BANGSATRIA Food Jajanan Alami Makanan Pedas,Rp62.880,TOKO BANGSATRIA,Kab.Ciamis,10rb+ terjual,4.9
9,SEBLAK CAMPUR/KERUPUK MIX PEDAS DAUN JERUK 1KG,Rp41.999,Rajalada_NEW,Kab. Bandung,4rb+ terjual,4.8
10,SEBLAK CAMPUR 500gram SEBLAK MIX [SEBLAK BETON - SEBLAK JENGKOL ASBES - SEBLAK SISIR - SEBLAK KERUPUK RAFAEL] PEDAS RENYAH JAGO NGEMIL,Rp13.450,Jago Ngemil,Kab.Ciamis,4rb+ terjual,4.8
11,SEBLAK BASRENG KOIN PEDAS DAUN JERUK 1KG,Rp55.786,Ngaladastore,Kab. Subang,50rb+ terjual,4.7
12,Agen Seblak Mommy,Rp9.999,Kenal Jaya_NEW,Bandung,4rb+ terjual,4.9
13,Seblak mix 1kg/ Seblak Campur/Aneka Kerupuk pedas daun jeruk Bumbu Cikruh,Rp40.000,Cemilan Cepiah,Kab. Bandung,4rb+ terjual,4.7
14,Seblak kerupuk bawang bantat pedas daun jeruk 500 gram,Rp20.000,Cemilan Cepiah,Kab. Bandung,6rb+ terjual,4.7
15,[termurah] Seblak kering pedas daun jeruk 1kg camilan kerupuk,Rp35.999,jaya makmur 2,Kab. Gresik,5rb+ terjual,4.7
16,"Krupuk Seblak Kering Bantat Bumbu Cikruh Pedas Daun Jeruk 500GR Snacks - Manis, Kerupuk, Camilan, Cemilan, Food",Rp22.000,sebringmakyah,Kab. Tuban,3rb+ terjual,4.7
17,[PUTRI] Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,1rb+ terjual,5.0
18,Bundling 1 Seblak + Baso Aci + Keju Aroma Sajodo Snack & Food,Rp58.000,Sajodo Snack & Food,Tasikmalaya,4rb+ terjual,4.8
19,"SEBLAK JUARA - SEBLAK INSTANT ASLI BANDUNG ENAK, ASLI DAN HIGIENIS",Rp22.000,Rasa Juara Indonesia_NEW,Kab. Bandung,2rb+ terjual,4.8
20,SEBLAK CAMPUR 1KG / ANEKA SEBLAK MIX BUMBU CIKRUHPEDAS DAUN JERUK Snacks Pedas Cemilan Food Kerupuk Makanan Camilan Kering Jengkol/ped/jaat/cimol/siomay,Rp39.000,BasrengSunda12_NEW,Kab. Bandung,2rb+ terjual,4.7
21,Mama Fuji - SEBLAK INSTAN Food Noodles,Rp25.649,Mama Fuji Real,Tangerang,2rb+ terjual,4.8
22,Lalada Food Kerupuk Seblak Kering Sebring 1kg Cemilan Pedas Original Gurih Ekstra Pedas Halal,Rp52.500,Lalada Food,Tasikmalaya,1rb+ terjual,4.8
